wave NSC_spec NSC_spec_var spec_bg spec_bg_var central_psf central_psf_var
4700.18 1127.45 71.47069574859418 149.12 0.2709527522959608 1568.72 69.09831988341872
4701.43 1089.98 29.12721499650521 145.21 0.1377324124600025 1519.69 27.921273929645004
4702.68 1079.98 28.545340407610585 142.34 0.1350220944019074 1501.22 27.363130021075598
4703.93 1094.41 29.138005232610585 144.21 0.1370808459342794 1521.17 27.93776907439989
4705.18 1106.86 29.297390662324293 145.98 0.14024585967368267 1538.84 28.069442653450764
4706.43 1109.19 29.505111375805857 147.49 0.14269241982317984 1545.65 28.255742066716017
4707.68 1132.39 29.62493921026673 148.98 0.14187216251454454 1573.25 28.38275181250922
4708.93 1128.4 29.34063193740803 148.2 0.14053934787182099 1566.96 28.110114239494337
4710.18 1104.16 28.684906634585527 148.7 0.13837757516414562 1544.2 27.473316728894744
4711.43 1114.48 28.694376307073195 146.92 0.13883382107349151 1549.25 27.478791657742626
4712.68 1109.63 28.615758247344576 147.29 0.13722750886957696 1545.5 27.41423795525789
4713.93 1113.75 28.937856164435427 148.52 0.13635137030418884 1553.27 27.744007062139076
4715.18 1155.34 29.522105038529457 147.92 0.13834885130537317 1593.08 28.310766629783174
4716.43 1160.56 29.4842151413048 152.58 0.141046142578125 1612.07 28.249260110610223
4717.68 1146.08 28.978263409130324 154.2 0.14345143094975898 1602.41 27.722248440740707
4718.93 1144.53 28.54149039752476 152.52 0.1426226757942362 1595.88 27.292731744904007
4720.18 1139.92 27.858632977373514 149.89 0.14021879155585107 1583.5 26.63092196830499
4721.43 1101.06 26.423598764854823 147.03 0.13611468457161113 1536.17 25.231822007330173
4722.68 1085.1 25.821453045241025 144.67 0.13556928431734125 1513.22 24.634451638360083
4723.93 1062.84 24.778417791842124 143.24 0.13351784564079122 1486.72 23.609378127604113
4725.18 1070.05 24.879929635162682 141.86 0.13028784406946062 1489.84 23.739170834312745
4726.43 1082.54 24.809342357312115 141.43 0.13129410845168094 1501.07 23.65977302652979
4727.68 1082.49 24.87497621187116 142.83 0.13439494599687293 1505.17 23.698256936710315
4728.93 1092.98 24.867923711305696 144.0 0.13039521968111079 1519.12 23.72622476385297
4730.18 1091.19 24.671693531789924 142.23 0.13114976274206283 1512.09 23.523388045994736
4731.43 1081.75 24.16465229594185 141.26 0.1293656328891186 1499.78 23.03196808200162
4732.68 1108.6 25.165849025348958 144.4 0.1318533958272731 1535.91 24.011382752718625
4733.93 1106.56 25.846014751780555 147.09 0.1359102411473051 1541.83 24.656028035661677
4735.18 1121.91 26.039253943487516 148.18 0.1366698569439827 1560.42 24.842616273770368
4736.43 1112.26 26.394955919518193 148.87 0.13477488172815202 1552.8 25.214910048293763
4737.68 1116.46 26.50195796962127 146.97 0.13421855683022357 1551.39 25.32678310173546
4738.93 1158.43 28.132954351891307 148.74 0.13775431856195977 1598.61 26.92682148219041
4740.18 1177.38 29.015024565349023 152.86 0.13762990261646027 1629.74 27.809981041978233
4741.43 1190.34 29.66335326761316 154.17 0.1423640880178898 1646.58 28.416858727072594
4742.68 1218.25 30.452656611428207 155.15 0.14205643674160573 1677.38 29.208855767322028
4743.93 1208.58 30.79809773224319 155.41 0.141878793594685 1668.47 29.555852274863284
4745.18 1207.35 30.28154417703424 154.62 0.13945126634963015 1664.92 29.060553373830846
4746.43 1211.76 30.584191175767277 155.59 0.14015110908670628 1672.2 29.357072772807875
4747.68 1205.41 30.33202751323865 154.61 0.13949940458257148 1662.94 29.110615227023715
4748.93 1176.58 29.81745956298082 151.31 0.1376553880407455 1624.35 28.612192897364835
4750.18 1144.46 28.351987285143498 146.27 0.13169664829335315 1577.32 27.198893443917704
4751.43 1111.3 27.16251715727866 143.21 0.12845182215913814 1535.1 26.037833978584516
4752.68 1083.7 26.416304889402067 142.06 0.12666394253994556 1504.1 25.307275814319972
4753.93 1096.26 27.02895682244969 143.75 0.1255604236683947 1521.66 25.929589806584374
4755.18 1108.53 27.12759971150103 146.84 0.12859356251168758 1543.06 26.001675499495136
4756.43 1133.93 27.395004308891654 146.99 0.12890010184430062 1568.9 26.266396136275446
4757.68 1147.13 27.482264798228684 147.99 0.1288942905182534 1585.08 26.35370750772953
4758.93 1154.33 27.42905236079022 148.38 0.12797864954522314 1593.43 26.30851213056145
4760.18 1161.38 27.661603908126917 149.17 0.1291057951906894 1602.81 26.531194750185907
4761.43 1182.61 28.219418857211632 149.46 0.12915832032548621 1624.9 27.08854980594586
4762.68 1171.88 27.783551463344544 152.14 0.13183521514243268 1622.11 26.629244374991035
4763.93 1159.39 27.249919406666514 152.39 0.13098778826125124 1610.33 26.103032117755454
4765.18 1208.03 27.87882323274339 152.21 0.13284798885913604 1658.46 26.71564862080124
4766.43 1194.02 27.79388358956547 153.13 0.1329053838202294 1647.17 26.63020644565298
4767.68 1214.58 27.793115588188222 155.06 0.13267335688814202 1673.43 26.631469998076497
4768.93 1215.64 27.637629529976596 156.11 0.13350021281140917 1677.6 26.468744253167785
4770.18 1209.55 27.346354489349324 156.07 0.13505964482084235 1671.4 26.163815323324727
4771.43 1212.72 26.830476891760327 154.87 0.13416729785026388 1671.01 25.65575083115143
4772.68 1226.8 27.15321037297891 153.97 0.13413095677152592 1682.44 25.97880250326264
4773.93 1203.68 26.141296811495913 153.11 0.13321065699800533 1656.77 24.974946793020962
4775.18 1189.25 25.56356007685401 151.36 0.13234841772850522 1637.16 24.404759550368475
4776.43 1163.1 24.900981401486266 150.63 0.13142483488042303 1608.86 23.75026747179561
