model mu Z Age M(*+remn) F275_wfc3 F336_WFC3 F435W_WFC F475W_WFC F555W_WFC F606W_WFC F775W_WFC F502N_WFC F550M_WFC F658N_WFC F660N_WFC F439W_WFPC2 F555W_WFPC2 F675W_WFPC2
Ebi1.30Zm2.27T01.7500_iTp0.00_baseFe.fits 1.30 -2.27000 1.75000 0.63590 4.99641 4.72294 4.89773 4.78104 4.56581 4.40869 3.84670 4.68682 4.48785 4.06259 4.09884 4.92083 4.60492 4.10622
Ebi1.30Zm2.27T02.0000_iTp0.00_baseFe.fits 1.30 -2.27000 2.00000 0.63080 5.27746 4.86179 5.01416 4.89124 4.66705 4.50544 3.93644 4.79211 4.58624 4.15171 4.18899 5.03817 4.70759 4.19668
Ebi1.30Zm2.27T02.2500_iTp0.00_baseFe.fits 1.30 -2.27000 2.25000 0.62630 5.38132 4.97262 5.12611 4.99899 4.76880 4.60430 4.03186 4.89646 4.68615 4.24584 4.28351 5.15085 4.81025 4.29181
Ebi1.30Zm2.27T02.5000_iTp0.00_baseFe.fits 1.30 -2.27000 2.50000 0.62250 5.62223 5.09445 5.23324 5.10254 4.86757 4.70108 4.12741 4.99681 4.78364 4.33927 4.37716 5.25846 4.90986 4.38597
Ebi1.30Zm2.27T02.7500_iTp0.00_baseFe.fits 1.30 -2.27000 2.75000 0.61910 5.73598 5.17109 5.31883 5.18234 4.93879 4.76870 4.19065 5.07155 4.85249 4.40064 4.43935 5.34549 4.98257 4.44902
Ebi1.30Zm2.27T03.0000_iTp0.00_baseFe.fits 1.30 -2.27000 3.00000 0.61610 5.81863 5.24125 5.40679 5.26549 5.01455 4.84106 4.25768 5.15049 4.92620 4.46679 4.50637 5.43486 5.05963 4.51673
Ebi1.30Zm2.27T03.2500_iTp0.00_baseFe.fits 1.30 -2.27000 3.25000 0.61340 5.91432 5.30607 5.48070 5.33536 5.07836 4.90205 4.31370 5.21703 4.98832 4.52247 4.56291 5.50987 5.12448 4.57381
Ebi1.30Zm2.27T03.5000_iTp0.00_baseFe.fits 1.30 -2.27000 3.50000 0.61100 5.98536 5.34044 5.54842 5.39925 5.13479 4.95492 4.36256 5.27715 5.04259 4.56791 4.60971 5.57965 5.18236 4.62218
Ebi1.30Zm2.27T03.7500_iTp0.00_baseFe.fits 1.30 -2.27000 3.75000 0.60870 6.05714 5.40435 5.60994 5.45790 5.18952 5.00765 4.41044 5.33370 5.09611 4.61742 4.65958 5.64163 5.23772 4.67209
Ebi1.30Zm2.27T04.0000_iTp0.00_baseFe.fits 1.30 -2.27000 4.00000 0.60660 6.12454 5.46537 5.67740 5.52318 5.25144 5.06796 4.46830 5.39719 5.15695 4.67507 4.71755 5.70968 5.30020 4.73033
Ebi1.30Zm2.27T04.5000_iTp0.00_baseFe.fits 1.30 -2.27000 4.50000 0.60290 6.26519 5.59282 5.78789 5.62968 5.35323 5.16850 4.56861 5.50081 5.25735 4.77399 4.81647 5.82049 5.40274 4.83015
Ebi1.30Zm2.27T05.0000_iTp0.00_baseFe.fits 1.30 -2.27000 5.00000 0.59970 6.40643 5.71343 5.89344 5.72784 5.44175 5.25303 4.64819 5.59368 5.34274 4.85222 4.89525 5.92711 5.49282 4.90978
Ebi1.30Zm2.27T05.5000_iTp0.00_baseFe.fits 1.30 -2.27000 5.50000 0.59680 6.52057 5.81424 5.98869 5.81853 5.52637 5.33565 4.73042 5.68084 5.42556 4.93187 4.97515 6.02320 5.57846 4.99079
Ebi1.30Zm2.27T06.0000_iTp0.00_baseFe.fits 1.30 -2.27000 6.00000 0.59440 6.60769 5.90058 6.07772 5.90652 5.61273 5.42156 4.81613 5.76792 5.51143 5.01686 5.06021 6.11261 5.66514 5.07628
Ebi1.30Zm2.27T06.5000_iTp0.00_baseFe.fits 1.30 -2.27000 6.50000 0.59210 6.70056 5.99412 6.14256 5.96889 5.67307 5.48103 4.87130 5.82890 5.57115 5.07541 5.11862 6.17709 5.72573 5.13421
Ebi1.30Zm2.27T07.0000_iTp0.00_baseFe.fits 1.30 -2.27000 7.00000 0.59010 6.77403 6.07958 6.20316 6.02741 5.72997 5.53681 4.92212 5.88622 5.62748 5.12981 5.17269 6.23720 5.78281 5.18792
Ebi1.30Zm2.27T07.5000_iTp0.00_baseFe.fits 1.30 -2.27000 7.50000 0.58830 6.81727 6.13759 6.25840 6.08202 5.78373 5.58964 4.97080 5.94069 5.68100 5.18117 5.22410 6.29256 5.83660 5.23903
Ebi1.30Zm2.27T08.0000_iTp0.00_baseFe.fits 1.30 -2.27000 8.00000 0.58670 6.89505 6.21393 6.32002 6.13889 5.83558 5.63921 5.01534 5.99433 5.73125 5.22755 5.27062 6.35420 5.88914 5.28537
Ebi1.30Zm2.27T08.5000_iTp0.00_baseFe.fits 1.30 -2.27000 8.50000 0.58520 6.95115 6.27272 6.36249 6.17981 5.87509 5.67796 5.05165 6.03437 5.77032 5.26531 5.30826 6.39648 5.92880 5.32298
Ebi1.30Zm2.27T09.0000_iTp0.00_baseFe.fits 1.30 -2.27000 9.00000 0.58380 7.00681 6.32435 6.40332 6.22019 5.91556 5.71890 5.09511 6.07449 5.81085 5.30738 5.34975 6.43702 5.96918 5.36503
Ebi1.30Zm2.27T09.5000_iTp0.00_baseFe.fits 1.30 -2.27000 9.50000 0.58260 7.06417 6.37588 6.44247 6.25924 5.95476 5.75800 5.13307 6.11373 5.84998 5.34634 5.38862 6.47592 6.00828 5.40379
Ebi1.30Zm2.27T10.0000_iTp0.00_baseFe.fits 1.30 -2.27000 10.00000 0.58140 7.11416 6.42141 6.48648 6.30173 5.99565 5.79785 5.16999 6.15542 5.89031 5.38486 5.42721 6.51995 6.04925 5.44201
Ebi1.30Zm2.27T10.5000_iTp0.00_baseFe.fits 1.30 -2.27000 10.50000 0.58030 7.17900 6.48212 6.53014 6.34410 6.03649 5.83754 5.20677 6.19723 5.93068 5.42267 5.46516 6.56361 6.09025 5.47992
Ebi1.30Zm2.27T11.0000_iTp0.00_baseFe.fits 1.30 -2.27000 11.00000 0.57740 7.21447 6.52217 6.57572 6.38732 6.07634 5.87574 5.24194 6.23881 5.96948 5.45807 5.50091 6.60987 6.13059 5.51592
Ebi1.30Zm2.27T11.5000_iTp0.00_baseFe.fits 1.30 -2.27000 11.50000 0.57450 7.25869 6.56809 6.62084 6.42960 6.11502 5.91277 5.27650 6.27927 6.00701 5.49241 5.53555 6.65544 6.16978 5.55091
Ebi1.30Zm2.27T12.0000_iTp0.00_baseFe.fits 1.30 -2.27000 12.00000 0.57160 7.29238 6.60856 6.66321 6.47000 6.15265 5.94875 5.30816 6.31853 6.04368 5.52564 5.56916 6.69820 6.20781 5.58438
Ebi1.30Zm2.27T12.5000_iTp0.00_baseFe.fits 1.30 -2.27000 12.50000 0.56870 7.33138 6.65059 6.71025 6.51524 6.19551 5.99057 5.34831 6.36259 6.08581 5.56569 5.60938 6.74566 6.25102 5.62492
Ebi1.30Zm2.27T13.0000_iTp0.00_baseFe.fits 1.30 -2.27000 13.00000 0.56590 7.37890 6.69241 6.75256 6.55513 6.23224 6.02603 5.38298 6.40075 6.12159 5.59898 5.64294 6.78847 6.28824 5.65899
Ebi1.30Zm2.27T13.5000_iTp0.00_baseFe.fits 1.30 -2.27000 13.50000 0.56300 7.40606 6.72495 6.79095 6.59138 6.26544 6.05772 5.41199 6.43554 6.15386 5.62822 5.67259 6.82746 6.32190 5.68862
Ebi1.30Zm2.27T14.0000_iTp0.00_baseFe.fits 1.30 -2.27000 14.00000 0.56020 7.43330 6.75783 6.82923 6.62755 6.29846 6.08917 5.44073 6.47017 6.18585 5.65690 5.70175 6.86638 6.35540 5.71797
Ebi1.30Zm1.79T00.0300_iTp0.00_baseFe.fits 1.30 -1.79000 0.03000 0.84050 0.46807 0.94510 2.03417 2.10676 2.16414 2.17480 2.19823 2.17777 2.18935 2.10838 2.15269 2.06044 2.15863 2.19733
Ebi1.30Zm1.79T00.0400_iTp0.00_baseFe.fits 1.30 -1.79000 0.04000 0.82550 0.78086 1.21300 2.21597 2.27924 2.32486 2.32890 2.32672 2.34199 2.34448 2.25679 2.29379 2.24014 2.32118 2.33641
Ebi1.30Zm1.79T00.0500_iTp0.00_baseFe.fits 1.30 -1.79000 0.05000 0.81430 1.01588 1.42727 2.36739 2.42371 2.46084 2.45987 2.43502 2.48010 2.47654 2.38333 2.41498 2.38993 2.45843 2.45617
Ebi1.30Zm1.79T00.0600_iTp0.00_baseFe.fits 1.30 -1.79000 0.06000 0.81430 1.18934 1.58837 2.48183 2.53165 2.56017 2.55434 2.51025 2.58223 2.57233 2.47050 2.49978 2.50339 2.55912 2.53986
Ebi1.30Zm1.79T00.0700_iTp0.00_baseFe.fits 1.30 -1.79000 0.07000 0.79850 1.33774 1.73487 2.58147 2.62153 2.63465 2.61854 2.53501 2.66330 2.64015 2.51625 2.54441 2.60236 2.63618 2.58153
Ebi1.30Zm1.79T00.0800_iTp0.00_baseFe.fits 1.30 -1.79000 0.08000 0.79850 1.45459 1.84225 2.64377 2.67092 2.66107 2.62582 2.45236 2.70137 2.65615 2.48472 2.51476 2.66466 2.66638 2.54470
Ebi1.30Zm1.79T00.0900_iTp0.00_baseFe.fits 1.30 -1.79000 0.09000 0.79270 1.56287 1.92734 2.67647 2.68949 2.65485 2.60194 2.35112 2.70723 2.63900 2.42735 2.45902 2.69758 2.66432 2.48486
Ebi1.30Zm1.79T00.1000_iTp0.00_baseFe.fits 1.30 -1.79000 0.10000 0.78250 1.63037 1.96764 2.68095 2.68498 2.63343 2.56599 2.23211 2.69476 2.60934 2.36416 2.39749 2.70232 2.64553 2.41764
Ebi1.30Zm1.79T00.1500_iTp0.00_baseFe.fits 1.30 -1.79000 0.15000 0.75970 2.09305 2.38471 2.99531 2.97752 2.89210 2.80230 2.39400 2.96749 2.85425 2.56257 2.59647 3.01629 2.90964 2.61161
Ebi1.30Zm1.79T00.2000_iTp0.00_baseFe.fits 1.30 -1.79000 0.20000 0.74520 2.43927 2.62845 3.16587 3.14376 3.05656 2.96816 2.57146 3.12887 3.01898 2.73352 2.76489 3.18516 3.07435 2.78016
Ebi1.30Zm1.79T00.2500_iTp0.00_baseFe.fits 1.30 -1.79000 0.25000 0.73380 2.65493 2.82211 3.30624 3.27656 3.18051 3.08817 2.68291 3.25505 3.13982 2.84915 2.87920 3.32476 3.19953 2.89347
Ebi1.30Zm1.79T00.3000_iTp0.00_baseFe.fits 1.30 -1.79000 0.30000 0.72450 2.84911 3.00237 3.43828 3.40488 3.30638 3.21442 2.81101 3.38038 3.26529 2.97931 3.00672 3.45581 3.32566 3.02039
Ebi1.30Zm1.79T00.3500_iTp0.00_baseFe.fits 1.30 -1.79000 0.35000 0.71680 2.99577 3.12609 3.53160 3.49417 3.39227 3.29947 2.89536 3.46594 3.35027 3.06520 3.09096 3.54829 3.41189 3.10475
Ebi1.30Zm1.79T00.4000_iTp0.00_baseFe.fits 1.30 -1.79000 0.40000 0.71000 3.13995 3.23457 3.62098 3.58007 3.47513 3.38143 2.97369 3.54887 3.43213 3.14722 3.17159 3.63688 3.49522 3.18503
Ebi1.30Zm1.79T00.4500_iTp0.00_baseFe.fits 1.30 -1.79000 0.45000 0.70400 3.26906 3.34408 3.71612 3.67273 3.56566 3.47189 3.06464 3.63944 3.52223 3.23804 3.26180 3.73159 3.58624 3.27554
Ebi1.30Zm1.79T00.5000_iTp0.00_baseFe.fits 1.30 -1.79000 0.50000 0.69870 3.38099 3.44553 3.79476 3.74663 3.63356 3.53646 3.11781 3.70955 3.58801 3.29790 3.32118 3.81004 3.65507 3.33383
Ebi1.30Zm1.79T00.6000_iTp0.00_baseFe.fits 1.30 -1.79000 0.60000 0.68980 3.57324 3.62639 3.93919 3.88585 3.76666 3.66516 3.22943 3.84481 3.71911 3.41954 3.44253 3.95407 3.78906 3.45282
Ebi1.30Zm1.79T00.7000_iTp0.00_baseFe.fits 1.30 -1.79000 0.70000 0.68230 3.74444 3.78054 4.06951 4.01197 3.88778 3.78352 3.33962 3.96726 3.83880 3.53304 3.55622 4.08423 3.91104 3.56554
Ebi1.30Zm1.79T00.8000_iTp0.00_baseFe.fits 1.30 -1.79000 0.80000 0.67600 3.84362 3.88709 4.16553 4.09756 3.95789 3.84475 3.37913 4.04403 3.90397 3.57733 3.60225 4.18134 3.98385 3.61098
Ebi1.30Zm1.79T00.9000_iTp0.00_baseFe.fits 1.30 -1.79000 0.90000 0.67040 3.98564 3.95972 4.19758 4.10255 3.92084 3.78090 3.23941 4.02821 3.85238 3.46516 3.49596 4.21687 3.95351 3.50082
Ebi1.30Zm1.79T01.0000_iTp0.00_baseFe.fits 1.30 -1.79000 1.00000 0.66390 4.22874 4.11317 4.32305 4.20493 3.98920 3.83188 3.26143 4.11280 3.90979 3.48647 3.52154 4.34576 4.02720 3.52731
Ebi1.30Zm1.79T01.2500_iTp0.00_baseFe.fits 1.30 -1.79000 1.25000 0.65160 4.72455 4.45042 4.62368 4.48688 4.24658 4.07976 3.50904 4.37932 4.16005 3.71851 3.75595 4.64864 4.28849 3.76506
Ebi1.30Zm1.79T01.5000_iTp0.00_baseFe.fits 1.30 -1.79000 1.50000 0.64290 4.94715 4.64977 4.82708 4.68273 4.43123 4.25856 3.67847 4.56984 4.34087 3.88701 3.92624 4.85340 4.47484 3.93609
Ebi1.30Zm1.79T01.7500_iTp0.00_baseFe.fits 1.30 -1.79000 1.75000 0.63670 5.15145 4.79926 4.97655 4.83180 4.58038 4.40892 3.83758 4.71800 4.49031 4.03940 4.07811 5.00288 4.62401 4.08928
Ebi1.30Zm1.79T02.0000_iTp0.00_baseFe.fits 1.30 -1.79000 2.00000 0.63160 5.37000 4.92140 5.09038 4.94055 4.68202 4.50693 3.92762 4.82286 4.58981 4.13102 4.17049 5.11761 4.72681 4.18192
Ebi1.30Zm1.79T02.2500_iTp0.00_baseFe.fits 1.30 -1.79000 2.25000 0.62700 5.50067 5.01741 5.20100 5.04573 4.77934 4.60056 4.01358 4.92347 4.68492 4.21808 4.25853 5.22966 4.82541 4.27017
Ebi1.30Zm1.79T02.5000_iTp0.00_baseFe.fits 1.30 -1.79000 2.50000 0.62320 5.59229 5.10529 5.31624 5.15968 4.89074 4.71151 4.12676 5.03590 4.79570 4.32753 4.36845 5.34589 4.93735 4.38117
Ebi1.30Zm1.79T02.7500_iTp0.00_baseFe.fits 1.30 -1.79000 2.75000 0.61980 5.67221 5.14578 5.40073 5.24070 4.96445 4.78190 4.19341 5.11336 4.86732 4.39051 4.43303 5.43279 5.01246 4.44742
Ebi1.30Zm1.79T03.0000_iTp0.00_baseFe.fits 1.30 -1.79000 3.00000 0.61680 5.81231 5.24887 5.48626 5.32135 5.03892 4.85383 4.26239 5.19049 4.93987 4.45849 4.50134 5.51886 5.08793 4.51620
Ebi1.30Zm1.79T03.2500_iTp0.00_baseFe.fits 1.30 -1.79000 3.25000 0.61410 5.91827 5.34163 5.56660 5.39848 5.11225 4.92575 4.33278 5.26535 5.01211 4.52828 4.57118 5.59952 5.16192 4.58645
Ebi1.30Zm1.79T03.5000_iTp0.00_baseFe.fits 1.30 -1.79000 3.50000 0.61160 6.02293 5.42901 5.63475 5.46246 5.17118 4.98222 4.38369 5.32658 5.06947 4.58099 4.62413 5.66801 5.22160 4.63945
Ebi1.30Zm1.79T03.7500_iTp0.00_baseFe.fits 1.30 -1.79000 3.75000 0.60930 6.11141 5.51180 5.70271 5.52528 5.22837 5.03705 4.43367 5.38604 5.12505 4.63253 4.67588 5.73629 5.27957 4.69107
Ebi1.30Zm1.79T04.0000_iTp0.00_baseFe.fits 1.30 -1.79000 4.00000 0.60720 6.21031 5.59320 5.76845 5.58659 5.28454 5.09095 4.48295 5.44436 5.17968 4.68318 4.72674 5.80241 5.33651 4.74186
Ebi1.30Zm1.79T04.5000_iTp0.00_baseFe.fits 1.30 -1.79000 4.50000 0.60350 6.37670 5.73757 5.88921 5.70066 5.39101 5.19445 4.58127 5.55375 5.28404 4.78291 4.82666 5.92382 5.44415 4.84164
Ebi1.30Zm1.79T05.0000_iTp0.00_baseFe.fits 1.30 -1.79000 5.00000 0.60030 6.52051 5.85638 5.98489 5.79068 5.47418 5.27412 4.65301 5.64034 5.36507 4.85661 4.90085 6.02016 5.52828 4.91640
Ebi1.30Zm1.79T05.5000_iTp0.00_baseFe.fits 1.30 -1.79000 5.50000 0.59740 6.65375 5.97059 6.07583 5.87590 5.55309 5.35025 4.72390 5.72204 5.44210 4.92876 4.97322 6.11151 5.60802 4.98898
Ebi1.30Zm1.79T06.0000_iTp0.00_baseFe.fits 1.30 -1.79000 6.00000 0.59490 6.75677 6.06471 6.16900 5.96767 5.64300 5.43920 4.81134 5.81298 5.53144 5.01578 5.06039 6.20502 5.69816 5.07670
Ebi1.30Zm1.79T06.5000_iTp0.00_baseFe.fits 1.30 -1.79000 6.50000 0.59270 6.87981 6.17250 6.23713 6.03208 5.70399 5.49850 4.86527 5.87544 5.59140 5.07278 5.11732 6.27293 5.75955 5.13332
Ebi1.30Zm1.79T07.0000_iTp0.00_baseFe.fits 1.30 -1.79000 7.00000 0.59070 6.95831 6.24331 6.30291 6.09437 5.76204 5.55446 4.91709 5.93546 5.64814 5.12556 5.17031 6.33922 5.81820 5.18639
Ebi1.30Zm1.79T07.5000_iTp0.00_baseFe.fits 1.30 -1.79000 7.50000 0.58880 7.02607 6.30153 6.36556 6.15398 5.81748 5.60769 4.96571 5.99296 5.70226 5.17521 5.22033 6.40263 5.87428 5.23655
Ebi1.30Zm1.79T08.0000_iTp0.00_baseFe.fits 1.30 -1.79000 8.00000 0.58720 7.09594 6.36866 6.42354 6.20957 5.87034 5.65913 5.01386 6.04709 5.75426 5.22450 5.26976 6.46085 5.92749 5.28600
Ebi1.30Zm1.79T08.5000_iTp0.00_baseFe.fits 1.30 -1.79000 8.50000 0.58570 7.16413 6.43287 6.47246 6.25654 5.91533 5.70317 5.05549 6.09294 5.79861 5.26725 5.31245 6.50976 5.97274 5.32868
Ebi1.30Zm1.79T09.0000_iTp0.00_baseFe.fits 1.30 -1.79000 9.00000 0.58430 7.21073 6.49129 6.50880 6.29477 5.95634 5.74561 5.10090 6.13252 5.84029 5.31219 5.35672 6.54527 6.01332 5.37319
Ebi1.30Zm1.79T09.5000_iTp0.00_baseFe.fits 1.30 -1.79000 9.50000 0.58310 7.24084 6.54942 6.54683 6.33348 5.99645 5.78658 5.14369 6.17157 5.88075 5.35463 5.39873 6.58273 6.05323 5.41554
Ebi1.30Zm1.79T10.0000_iTp0.00_baseFe.fits 1.30 -1.79000 10.00000 0.58190 7.28498 6.59418 6.58281 6.37077 6.03513 5.82567 5.18288 6.20967 5.91965 5.39414 5.43816 6.61847 6.09171 5.45504
Ebi1.30Zm1.79T10.5000_iTp0.00_baseFe.fits 1.30 -1.79000 10.50000 0.58070 7.29885 6.63333 6.61628 6.40586 6.07237 5.86355 5.22064 6.24615 5.95729 5.43305 5.47671 6.65131 6.12849 5.49362
Ebi1.30Zm1.79T11.0000_iTp0.00_baseFe.fits 1.30 -1.79000 11.00000 0.57780 7.29830 6.65592 6.65017 6.44138 6.10920 5.90038 5.25631 6.28303 5.99421 5.46948 5.51328 6.68514 6.16503 5.53022
Ebi1.30Zm1.79T11.5000_iTp0.00_baseFe.fits 1.30 -1.79000 11.50000 0.57500 7.38346 6.70243 6.69604 6.48465 6.14950 5.93906 5.29208 6.32486 6.03356 5.50577 5.54983 6.73135 6.20560 5.56666
Ebi1.30Zm1.79T12.0000_iTp0.00_baseFe.fits 1.30 -1.79000 12.00000 0.57210 7.45386 6.74689 6.74373 6.52970 6.19058 5.97785 5.32662 6.36814 6.07339 5.54065 5.58535 6.77991 6.24726 5.60224
Ebi1.30Zm1.79T12.5000_iTp0.00_baseFe.fits 1.30 -1.79000 12.50000 0.56930 7.47837 6.78211 6.78969 6.57323 6.23081 6.01617 5.36070 6.41019 6.11257 5.57578 5.62095 6.82651 6.28787 5.63789
Ebi1.30Zm1.79T13.0000_iTp0.00_baseFe.fits 1.30 -1.79000 13.00000 0.56820 7.50714 6.81843 6.84026 6.62196 6.27649 6.06008 5.40136 6.45792 6.15719 5.61652 5.66220 6.87778 6.33400 5.67938
Ebi1.30Zm1.79T13.5000_iTp0.00_baseFe.fits 1.30 -1.79000 13.50000 0.56540 7.52417 6.84579 6.88076 6.65980 6.31043 6.09170 5.42893 6.49401 6.18989 5.64426 5.69045 6.91910 6.36850 5.70778
Ebi1.30Zm1.79T14.0000_iTp0.00_baseFe.fits 1.30 -1.79000 14.00000 0.56270 7.55676 6.87971 6.92200 6.69797 6.34446 6.12356 5.45676 6.53036 6.22260 5.67255 5.71935 6.96112 6.40308 5.73671
Ebi1.30Zm1.49T00.0300_iTp0.00_baseFe.fits 1.30 -1.49000 0.03000 0.84020 0.48639 0.93474 1.94292 1.99538 2.01617 2.00091 1.92161 2.04647 2.02508 1.88217 1.92589 1.96944 2.01721 1.96496
Ebi1.30Zm1.49T00.0400_iTp0.00_baseFe.fits 1.30 -1.49000 0.04000 0.82510 0.80651 1.21086 2.12516 2.16817 2.17767 2.15714 2.05804 2.21082 2.18184 2.03512 2.07252 2.14975 2.18058 2.11031
Ebi1.30Zm1.49T00.0500_iTp0.00_baseFe.fits 1.30 -1.49000 0.05000 0.81390 1.04286 1.43662 2.28640 2.32122 2.32172 2.29775 2.18764 2.35640 2.32303 2.17397 2.20715 2.30955 2.32601 2.24461
Ebi1.30Zm1.49T00.0600_iTp0.00_baseFe.fits 1.30 -1.49000 0.06000 0.81390 1.21568 1.60252 2.40728 2.43665 2.43081 2.40369 2.28197 2.46730 2.42927 2.27778 2.30801 2.42926 2.43597 2.34388
Ebi1.30Zm1.49T00.0700_iTp0.00_baseFe.fits 1.30 -1.49000 0.07000 0.79810 1.36401 1.75312 2.51571 2.53605 2.51672 2.48051 2.32522 2.55863 2.50935 2.33969 2.36856 2.53692 2.52397 2.40158
Ebi1.30Zm1.49T00.0800_iTp0.00_baseFe.fits 1.30 -1.49000 0.08000 0.79810 1.49380 1.86760 2.58941 2.59930 2.56247 2.51301 2.30261 2.61269 2.54743 2.34694 2.37616 2.61049 2.57255 2.40601
Ebi1.30Zm1.49T00.0900_iTp0.00_baseFe.fits 1.30 -1.49000 0.09000 0.79210 1.60805 1.96079 2.64212 2.64183 2.58835 2.52633 2.25171 2.64603 2.56681 2.33708 2.36727 2.66322 2.60120 2.39329
Ebi1.30Zm1.49T00.1000_iTp0.00_baseFe.fits 1.30 -1.49000 0.10000 0.78190 1.71582 2.04948 2.68623 2.67931 2.61534 2.54469 2.21971 2.67818 2.58926 2.34027 2.37067 2.70707 2.62980 2.39322
Ebi1.30Zm1.49T00.1500_iTp0.00_baseFe.fits 1.30 -1.49000 0.15000 0.76040 2.23188 2.45392 2.97553 2.95013 2.85981 2.77256 2.38741 2.93224 2.82328 2.54166 2.57082 2.99523 2.87847 2.58943
Ebi1.30Zm1.49T00.2000_iTp0.00_baseFe.fits 1.30 -1.49000 0.20000 0.74610 2.56128 2.72090 3.17340 3.14024 3.04112 2.95015 2.55320 3.11545 3.00174 2.71374 2.74182 3.19240 3.06115 2.75967
Ebi1.30Zm1.49T00.2500_iTp0.00_baseFe.fits 1.30 -1.49000 0.25000 0.73480 2.79309 2.92899 3.33605 3.29285 3.18134 3.08387 2.66630 3.25990 3.13752 2.83774 2.86483 3.35429 3.20335 2.88095
Ebi1.30Zm1.49T00.3000_iTp0.00_baseFe.fits 1.30 -1.49000 0.30000 0.72550 2.99850 3.09645 3.48555 3.44005 3.32708 3.22928 2.81284 3.40490 3.28280 2.98358 3.00972 3.50297 3.34918 3.02661
Ebi1.30Zm1.49T00.3500_iTp0.00_baseFe.fits 1.30 -1.49000 0.35000 0.71790 3.15416 3.21810 3.59596 3.54527 3.42597 3.32486 2.90034 3.50644 3.37929 3.07536 3.10087 3.61301 3.44891 3.11614
Ebi1.30Zm1.49T00.4000_iTp0.00_baseFe.fits 1.30 -1.49000 0.40000 0.71130 3.29363 3.33477 3.69567 3.64069 3.51686 3.41329 2.98105 3.59899 3.46866 3.16128 3.18614 3.71212 3.54032 3.20013
Ebi1.30Zm1.49T00.4500_iTp0.00_baseFe.fits 1.30 -1.49000 0.45000 0.70540 3.41409 3.44564 3.79118 3.73274 3.60471 3.49804 3.05211 3.68879 3.55493 3.24080 3.26604 3.80747 3.62865 3.27808
Ebi1.30Zm1.49T00.5000_iTp0.00_baseFe.fits 1.30 -1.49000 0.50000 0.70020 3.50510 3.53778 3.87259 3.81183 3.68098 3.57156 3.11054 3.76633 3.63013 3.30885 3.33488 3.88879 3.70530 3.34409
Ebi1.30Zm1.49T00.6000_iTp0.00_baseFe.fits 1.30 -1.49000 0.60000 0.69130 3.69879 3.71896 4.01574 3.94879 3.81074 3.69540 3.20878 3.89890 3.75752 3.42253 3.44912 4.03167 3.83593 3.45422
Ebi1.30Zm1.49T00.7000_iTp0.00_baseFe.fits 1.30 -1.49000 0.70000 0.68390 3.84473 3.87782 4.15071 4.07454 3.92461 3.80323 3.30455 4.01705 3.86767 3.52005 3.54745 4.16687 3.95167 3.55200
Ebi1.30Zm1.49T00.8000_iTp0.00_baseFe.fits 1.30 -1.49000 0.80000 0.67770 4.01583 4.00388 4.27431 4.18562 4.01731 3.88557 3.36004 4.11793 3.95467 3.58279 3.61304 4.29224 4.04748 3.61608
Ebi1.30Zm1.49T00.9000_iTp0.00_baseFe.fits 1.30 -1.49000 0.90000 0.67220 4.23343 4.13214 4.33555 4.22641 4.03082 3.88360 3.32111 4.14317 3.95946 3.55520 3.58892 4.35479 4.06495 3.58869
Ebi1.30Zm1.49T01.0000_iTp0.00_baseFe.fits 1.30 -1.49000 1.00000 0.66630 4.44025 4.24852 4.39641 4.26256 4.03103 3.86048 3.23171 4.16239 3.94696 3.49304 3.53154 4.41840 4.07054 3.52769
Ebi1.30Zm1.49T01.2500_iTp0.00_baseFe.fits 1.30 -1.49000 1.25000 0.65330 4.91544 4.56552 4.67141 4.52154 4.26959 4.09617 3.49372 4.40804 4.17984 3.72443 3.76298 4.69548 4.31284 3.76793
Ebi1.30Zm1.49T01.5000_iTp0.00_baseFe.fits 1.30 -1.49000 1.50000 0.64440 5.26875 4.77811 4.86105 4.69691 4.42572 4.24401 3.63165 4.57224 4.33017 3.85913 3.89931 4.88741 4.47202 3.90564
Ebi1.30Zm1.49T01.7500_iTp0.00_baseFe.fits 1.30 -1.49000 1.75000 0.63780 5.42286 4.92105 5.03628 4.87368 4.60442 4.42586 3.82973 4.74879 4.51001 4.04519 4.08509 5.06319 4.65062 4.09391
Ebi1.30Zm1.49T02.0000_iTp0.00_baseFe.fits 1.30 -1.49000 2.00000 0.63260 5.57377 5.04070 5.15242 4.98244 4.70382 4.52145 3.91785 4.85195 4.60674 4.13458 4.17549 5.18050 4.75155 4.18421
Ebi1.30Zm1.49T02.2500_iTp0.00_baseFe.fits 1.30 -1.49000 2.25000 0.62800 5.72056 5.16707 5.26481 5.08749 4.79994 4.61362 4.00185 4.95187 4.70022 4.22054 4.26216 5.29382 4.84904 4.27082
Ebi1.30Zm1.49T02.5000_iTp0.00_baseFe.fits 1.30 -1.49000 2.50000 0.62400 5.85451 5.30217 5.39052 5.21153 4.92249 4.73604 4.12534 5.07462 4.82238 4.34268 4.38417 5.41951 4.97184 4.39324
Ebi1.30Zm1.49T02.7500_iTp0.00_baseFe.fits 1.30 -1.49000 2.75000 0.62060 5.98257 5.40982 5.47832 5.29387 4.99831 4.80873 4.19186 5.15345 4.89622 4.41061 4.45243 5.50781 5.04863 4.46160
