wave NSC_spec NSC_spec_var
4700.18 1127.45 71.47069574859418
4701.43 1089.98 29.12721499650521
4702.68 1079.98 28.545340407610585
4703.93 1094.41 29.138005232610585
4705.18 1106.86 29.297390662324293
4706.43 1109.19 29.505111375805857
4707.68 1132.39 29.62493921026673
4708.93 1128.4 29.34063193740803
4710.18 1104.16 28.684906634585527
4711.43 1114.48 28.694376307073195
4712.68 1109.63 28.615758247344576
4713.93 1113.75 28.937856164435427
4715.18 1155.34 29.522105038529457
4716.43 1160.56 29.4842151413048
4717.68 1146.08 28.978263409130324
4718.93 1144.53 28.54149039752476
4720.18 1139.92 27.858632977373514
4721.43 1101.06 26.423598764854823
4722.68 1085.1 25.821453045241025
4723.93 1062.84 24.778417791842124
4725.18 1070.05 24.879929635162682
4726.43 1082.54 24.809342357312115
4727.68 1082.49 24.87497621187116
4728.93 1092.98 24.867923711305696
4730.18 1091.19 24.671693531789924
4731.43 1081.75 24.16465229594185
4732.68 1108.6 25.165849025348958
4733.93 1106.56 25.846014751780555
4735.18 1121.91 26.039253943487516
4736.43 1112.26 26.394955919518193
4737.68 1116.46 26.50195796962127
4738.93 1158.43 28.132954351891307
4740.18 1177.38 29.015024565349023
4741.43 1190.34 29.66335326761316
4742.68 1218.25 30.452656611428207
4743.93 1208.58 30.79809773224319
4745.18 1207.35 30.28154417703424
4746.43 1211.76 30.584191175767277
4747.68 1205.41 30.33202751323865
4748.93 1176.58 29.81745956298082
4750.18 1144.46 28.351987285143498
4751.43 1111.3 27.16251715727866
4752.68 1083.7 26.416304889402067
4753.93 1096.26 27.02895682244969
4755.18 1108.53 27.12759971150103
4756.43 1133.93 27.395004308891654
4757.68 1147.13 27.482264798228684
4758.93 1154.33 27.42905236079022
4760.18 1161.38 27.661603908126917
4761.43 1182.61 28.219418857211632
4762.68 1171.88 27.783551463344544
4763.93 1159.39 27.249919406666514
4765.18 1208.03 27.87882323274339
4766.43 1194.02 27.79388358956547
4767.68 1214.58 27.793115588188222
4768.93 1215.64 27.637629529976596
4770.18 1209.55 27.346354489349324
4771.43 1212.72 26.830476891760327
4772.68 1226.8 27.15321037297891
